"cn","c0","c0t","c0_class_realm","c1","c1_class_biome","c2","ct","c2_class_ecosystem_functional_group","c3","c3_class_occurrence","raster","vector","tname","note"
61032,6,"F","Freshwater",1,"Rivers and streams",3,"F1.3","Freeze-thaw rivers and streams",2,"minor","F1.3.web.map_v1.0.tif","F1.3.web.map_v1.0.json","f1_3_web_map_v1_0",NULL
61041,6,"F","Freshwater",1,"Rivers and streams",4,"F1.4","Seasonal upland streams",1,"major","F1.4.web.map_v1.0.tif","F1.4.web.map_v1.0.json","f1_4_web_map_v1_0",NULL
61042,6,"F","Freshwater",1,"Rivers and streams",4,"F1.4","Seasonal upland streams",2,"minor","F1.4.web.map_v1.0.tif","F1.4.web.map_v1.0.json","f1_4_web_map_v1_0",NULL
61051,6,"F","Freshwater",1,"Rivers and streams",5,"F1.5","Seasonal lowland rivers",1,"major","F1.5.web.map_v1.0.tif","F1.5.web.map_v1.0.json","f1_5_web_map_v1_0",NULL
61052,6,"F","Freshwater",1,"Rivers and streams",5,"F1.5","Seasonal lowland rivers",2,"minor","F1.5.web.map_v1.0.tif","F1.5.web.map_v1.0.json","f1_5_web_map_v1_0",NULL
61061,6,"F","Freshwater",1,"Rivers and streams",6,"F1.6","Episodic arid rivers",1,"major","F1.6.web.mix_v1.0.tif","F1.6.web.mix_v1.0.json","f1_6_web_mix_v1_0",NULL
61062,6,"F","Freshwater",1,"Rivers and streams",6,"F1.6","Episodic arid rivers",2,"minor","F1.6.web.mix_v1.0.tif","F1.6.web.mix_v1.0.json","f1_6_web_mix_v1_0",NULL
61071,6,"F","Freshwater",1,"Rivers and streams",7,"F1.7","Large lowland rivers",1,"major","F1.7.web.orig_v2.0.tif","F1.7.web.orig_v2.0.json","f1_7_web_orig_v2_0",NULL
61072,6,"F","Freshwater",1,"Rivers and streams",7,"F1.7","Large lowland rivers",2,"minor","F1.7.web.orig_v2.0.tif","F1.7.web.orig_v2.0.json","f1_7_web_orig_v2_0",NULL
62011,6,"F","Freshwater",2,"Lakes",1,"F2.1","Large permanent freshwater lakes",1,"major","F2.1.web.alt_v4.0.tif","F2.1.web.alt_v4.0.json","f2_1_web_alt_v4_0",NULL
62012,6,"F","Freshwater",2,"Lakes",1,"F2.1","Large permanent freshwater lakes",2,"minor","F2.1.web.alt_v4.0.tif","F2.1.web.alt_v4.0.json","f2_1_web_alt_v4_0",NULL
62021,6,"F","Freshwater",2,"Lakes",2,"F2.2","Small permanent freshwater lakes",1,"major","F2.2.web.mix_v2.0.tif","F2.2.web.mix_v2.0.json","f2_2_web_mix_v2_0",NULL
62022,6,"F","Freshwater",2,"Lakes",2,"F2.2","Small permanent freshwater lakes",2,"minor","F2.2.web.mix_v2.0.tif","F2.2.web.mix_v2.0.json","f2_2_web_mix_v2_0",NULL
62031,6,"F","Freshwater",2,"Lakes",3,"F2.3","Seasonal freshwater lakes",1,"major","F2.3.web.mix_v2.0.tif","F2.3.web.mix_v2.0.json","f2_3_web_mix_v2_0",NULL
62032,6,"F","Freshwater",2,"Lakes",3,"F2.3","Seasonal freshwater lakes",2,"minor","F2.3.web.mix_v2.0.tif","F2.3.web.mix_v2.0.json","f2_3_web_mix_v2_0",NULL
